date,value_type_id,net_new_mrr,cum_net_new_mrr,current_base,ending_balance
2025-01-01,2,194000,194000,15000000,15194000
2025-02-01,2,254294,448294,15194000,15448294
2025-03-01,2,254584,702878,15448294,15702878
2025-04-01,2,254870,957748,15702878,15957748
2025-05-01,2,255151,1212898,15957748,16212898
2025-06-01,2,255427,1468326,16212898,16468326
2025-07-01,2,250665,1718991,16468326,16718991
2025-08-01,2,250928,1969919,16718991,16969919
2025-09-01,2,251188,2221107,16969919,17221107
2025-10-01,2,251444,2472552,17221107,17472552
