date,value_type,current_base,new_customers,churn,total_customer_value
2025-01-01,budget,60076.00,60000.00,60000.00,60075.12
2025-02-01,budget,60150.24,60075.12,60075.12,60149.10
2025-03-01,budget,60223.07,60149.16,60149.16,60221.96
2025-04-01,budget,60294.83,60222.00,60222.00,60293.75
2025-05-01,budget,60365.54,60293.75,60293.75,60364.49
2025-06-01,budget,60435.23,60364.44,60364.43,60434.22
2025-07-01,budget,60503.94,60434.28,60434.27,60502.98
2025-08-01,budget,60571.74,60503.04,60503.04,60570.79
2025-09-01,budget,60638.61,60570.83,60570.84,60637.70
2025-10-01,budget,60704.60,60637.68,60637.68,60703.71
