date,value_type,arpu,customer_lifetime,ltv_delta
2025-02-01,budget,720.974,544632.7821,546035.4462
2025-03-01,budget,1381.1054,17376.1222,18778.6154
2025-04-01,budget,1381.4993,17397.51,18800.0769
2025-05-01,budget,1381.8202,17418.5776,18821.1538
2025-06-01,budget,1382.0601,17439.3336,18841.8462
2025-07-01,budget,1382.4389,-69308.4515,-68006.0385
2025-08-01,budget,1284.2614,15886.0297,17188.3571
2025-09-01,budget,1284.5843,15904.0957,17206.5
2025-10-01,budget,1284.8616,15921.9157,17224.3571
2025-11-01,budget,1285.0874,15939.4956,17241.9286
