date,value_type,gross_revenue_retention,net_revenue_retention,churn_value,churn_qty,logo_retention
2025-01-01,budget,0.9916,0.9929,0.0083,0.0083,0.9917
2025-02-01,budget,0.9957,0.997,0.0043,0.0043,0.9957
2025-03-01,budget,0.9957,0.997,0.0042,0.0042,0.9958
2025-04-01,budget,0.9958,0.9971,0.0042,0.0042,0.9958
2025-05-01,budget,0.9958,0.9971,0.0041,0.0041,0.9959
2025-06-01,budget,0.9959,0.9971,0.004,0.004,0.996
2025-07-01,budget,0.9957,0.9969,0.0043,0.0043,0.9957
2025-08-01,budget,0.9957,0.9969,0.0042,0.0042,0.9958
2025-09-01,budget,0.9958,0.997,0.0042,0.0042,0.9958
2025-10-01,budget,0.9958,0.997,0.0041,0.0041,0.9959
